,Recipients,professional career,professional career Telugu
0,A Zakia,,
1,A. G. K. Gokhale,,
2,A. Jayanta Kumar Singh,,
3,A. K. Gupta,,
4,A. K. Hangal,,
5,A. K. Ramanujan,,
6,A. Kanyakumari,,
7,A. Lakshmanaswami Mudaliar,,
8,A. M. Naik,,
9,A. Marthanda Pillai,,
10,A. Nagappa Chettiar,,
11,A. P. J. Abdul Kalam,,
12,A. R. Rahman,,
13,A. Ramachandran,,
14,A. Ramasamy Mudaliar,,
15,A. S. Arya,,
16,A. S. Kiran Kumar,,
17,A. Sankara Reddy,,
18,A. Sivasailam,,
19,A. Sivathanu Pillai,,
20,A. Sreedhara Menon,,
21,A. V. Rama Rao,,
22,A. Vithal alias Dhananjay Keer,,
23,Aamir Khan,,
24,Aamir Raza Husain,,
25,Abdul Gafur Khatri,,
26,Abdul Halim Jaffer Khan,,
27,Abdul Jabbar Khan,,
28,Abdul Karim Parekh,,
29,Abdul Latif Khan,,
30,Abdul Rahman Al Mahmoud,,
31,Abdul Rashid Khan,,
32,Abdul Sattar,,
33,Abdur Rahman,,
34,Abhay Chhajlani,,
35,Abhay and Rani Bang,,
36,Abhijit Sen,,
37,Abhin Chandra Rao,,
38,Abhinav Bindra,,
39,Abhiraj Rajendra Mishra,,
40,Abid Ali Khan,,
41,Abid Hussain,,
42,Achamma Mathai,,
43,Acharya Kakasaheb Kalelkar,,
44,Acharya Ramamurti,,
45,Acharya Shivpujan Sahay,,
46,Acharya Vishva Bandhu,,
47,Achyut Madhav Gokhale,,
48,Achyut Purushottam Kanvinde,,
49,Adarsh Sein Anand,,
50,Addepalli Sarvi Chetty,,
51,Adhya Jha,,
52,Adi Godrej,,
53,Adi M. Sethna,,
54,Adi Pherozeshah Marzban,,
55,Adinath Lahiri,,
56,Aditya Narayan Purohit,,
57,Aditya Nath Jha,,
58,Adnan Sami,,
59,Adoor Gopalakrishnan,,
60,Adusumalli Radha Krishna,,
61,Adya Prasad Mishra,,
62,Adya Rangacharya,,
63,Adyar K. Lakshman,,
64,Aekka Yadagiri Rao,,
65,Agram Krishnamachar,,
66,Agus Indra Udayana,,
67,Ahalya Chari,,
68,Ahindra Choudhury,,
69,Ahmed Jan Thirakwa,,
70,Aishwarya Rai Bachchan,,
71,Ajai Chowdhry,,
72,Ajay Devgan,,
73,Ajay K. Sood,,
74,Ajay Kumar Parida,,
75,Ajay Thakur,,
76,Ajaypal Singh Banga,,
77,Ajeet Bajaj,,
78,Ajeet Cour,,
79,Ajit Chandra Chatterjee,,
80,Ajit Kumar Basu,,
81,Ajit Pal Singh,,
82,Ajit Ram Verma,,
83,Ajit Wadekar,,
84,Ajoy Chakrabarty,,
85,Ajoy Kumar Dutta,,
86,Ajoy Kumar Mukherjee,,
87,Ajoy Kumar Ray,,
88,Ajudhia Nath Khosla,,
89,Ajudhiya Nath Khosla,,
90,Akbar Ali Khan,,
91,Akbar Padamsee,,
92,Akhil Chandra Mitra,,
93,Akhlaqur Rahman Kidwai,,
94,Akhtar Mohiuddin,,
95,Akhtarul Wasey,,
96,Akkineni Nageswara Rao,,
